row_id,source_index,category,duplicate_group,partition
000b4e16d6b60e465dd9,3171,top_up_reverted,3115,development
00189dfc48d1667d890f,8875,cash_withdrawal_not_recognised,8701,development
00226a8871a84b6126f1,2270,top_up_limits,2230,development
002cfff7700c3f32b42c,640,extra_charge_on_statement,632,development
002d21f99d5ebaa6feed,1772,pin_blocked,1744,development
0033b01c958fa5255fde,6722,reverted_card_payment?,6588,development
004d8cc7547debd51ec4,7442,failed_transfer,7298,development
005267d645d57e228506,2548,card_payment_fee_charged,2503,development
00645116451c746d4a9c,6860,reverted_card_payment?,6724,development
00658bb0c821f710d073,9109,top_up_by_card_charge,8934,development
00675722b4eb82b717b4,1960,pending_top_up,1931,development
006bb4658e752ea4fea4,7608,transfer_into_account,7463,development
006dac73d66e6d1ed4be,5482,request_refund,5382,development
007c76b7c1ba97415ba8,7167,transfer_fee_charged,7026,development
008739b81182f0f9c156,4811,direct_debit_payment_not_recognised,4724,development
008acc519aa250a2dfaf,5717,Refund_not_showing_up,5614,development
008f09903fea5fee86a2,5855,declined_card_payment,5750,development
0092a148f1ee48d15485,1286,card_not_working,1268,development
00953200355575bd50a1,5382,request_refund,5284,development
00a34e12f250966bf378,4134,visa_or_mastercard,4065,development
00abf2a9bca2717daa7e,4271,topping_up_by_card,4194,development
00b2eb2d957a4d535079,6383,transaction_charged_twice,6264,development
00b6eb58a50a7ae0e203,3043,getting_virtual_card,2991,development
00c4d0d951cf0172954d,7850,getting_spare_card,7694,development
00dd1c1687f03c813e63,9707,apple_pay_or_google_pay,9523,development
00ea10d0cbfa8ebed7d7,1968,pending_top_up,1939,development
00ebe2535e3d4bba4e3a,1097,card_delivery_estimate,1082,development
00f09fe5c3b04ad97291,7914,getting_spare_card,7758,development
00f1355d0115024761b5,4675,direct_debit_payment_not_recognised,4591,development
0103761cfa8bdbf814f0,5662,declined_transfer,5560,development
011398a24d73d114ccd8,3380,balance_not_updated_after_cheque_or_cash_deposit,3319,development
01166f9fb71a87d0b977,280,card_linking,278,development
011bf5dfedef8e798216,6558,verify_source_of_funds,6430,development
0122e038ede19e1ea1f8,1225,automatic_top_up,1208,development
0127d57d49beb8b362d4,482,card_payment_wrong_exchange_rate,477,development
014276aea3ac9ad91049,5752,Refund_not_showing_up,5649,development
014429882be9a071f6f5,955,fiat_currency_support,943,development
014491e5dcaa4ba7d69f,7977,top_up_by_cash_or_cheque,7820,development
0144ddb41e081a8db48c,4664,direct_debit_payment_not_recognised,4580,development
01574ca33e8e7e3a46f7,4720,direct_debit_payment_not_recognised,4636,development
015ab0a254e91a86ac48,5222,pending_card_payment,5126,development
016420db7e902f5038e6,8849,cash_withdrawal_not_recognised,8675,development
0173b2baeaf0d496960a,7398,receiving_money,7254,development
